Fragmento,Problema,Página,Línea,Bloque
(INEI),Falta el año. No se puede verificar la fuente.,62,16,c
"(Seinfield, 2011)",,62,22,b-c
"(Yamin, 2002)",,62,30,c
(INEI 1995),"Sí aparece en la bibliografía, pero no se puede ubicar fácilmente por una posible errata de márgenes. / Falta coma. ",66,15,d
"(INEI, 2008)","Sí aparece en la bibliografía, pero no se puede ubicar fácilmente por una posible errata de márgenes. ",66,18,c
"(INEI, Censo 1993)","Sí aparece en la bibliografía, pero no se puede ubicar fácilmente por una posible errata de márgenes. Censo es el documento, no el autor. El autor es el INEI ",66,30,b
"(Guttmacher, 2009; Gonzales, 2011; Távara et al., 1999)",El Instituto Guttmacher no viene referenciado en la bibliografía. ,67,24-25,c-b
(Flora Tristán),"Falta año de la obra, también en la bibliografía, por lo tanto no se puede verificar esta fuente. En la bibliografía, ""Flora Tristán"" aparece como ""Centro de la Mujer Peruana Flora Tristán"".",68,1,b
"(CIDE, 2007)",No señala si se refiere al año 2007a o 2007b de la bibliografía. ,68,11-12,d-a
"(Ferrando, 2004; CIDE, 2007)","Ferrando no está en la lista para ese año. Sobre CIDE, debería especificar si se refiere a 2007a o 2007b.",68,17,c
"(Dreze, Murthu, 2001; Cleland, Bernstein, Ezeh, Foundes, Glasier, Innis, 2006).","La primera referencia debería ser ""Dreze y Murthu"" o ""Dreze et al"". La segunda referencia debería ser ""Cleland et al"" para mantener la coherencia formal. ",69,13-14,d-d
"(Becker, Lewis, 1973)","Esta cita debería estar referenciada como ""Becker y Lewis"" o ""Becker et al"". En la bibliografía, sin embargo, hay un error ya que los autores aparecen como ""Becker y Becker"".",69,21,c
"(Miller, 2005)",,70,19,c
"(Escobal, Saavedra, Torero, 1998)","Esta cita debería ser ""Escobal et al"" para mantener la coherencia formal. ",71,12-13,d-b
"(Das Gupta, 2011)","Faltaría añadir ""et al"", ya que son varios autores. ",71,6-7,d-a
"(Miller, 2003)","Miller no está en la lista para ese año; por lo tanto, no se puede verificar esta fuente. ",71,25,b
"(Miller, 2005)",,71,33,b
(Donayre 2012),"Falta coma y añadir ""et al"", ya que son varios los autores. ",74,9,b
Ewig (2014),"La referencia se ha colocado antes de la cita. En la bibliografía, se ha escrito incorrectamente el apellido: ""Ewing"". ",75,32,d
"(Barrig, 2008)","En la bibliografía, Barrig aparece como Barrick",76,27,c
"(Succar, 2002; Moya, 2002; USAID, 2013)","La primera cita debería ser ""Succar et al"", pues son varios los autores. USAID no aparece como autor en la bibliografía para ese año, por lo que no se puede verificar la fuente. ",81,24,a-b
"(Hardee, Agarwal, Luke, Wilson, Pendzich, Farrell, Cross, 1999, Coe, 2004)","La primera cita debería ser ""Hardee et al"" para mantener la coherencia formal. Además, falta un punto y coma luego de 1999.",82,1-2,c-c
"(Hardee, Agarwal, Luke, Wilson, Pendzich, Farrell, Crosse, 1999, Coe, 2004)","La primera cita debería ser ""Hardee et al"" para mantener la coherencia formal. Además, falta un punto y coma luego de 1999.",82,16-17,c-c
"(Valdivia, 2002)",,82,31,b
"(Gribble, Sharma, Menotti, 2007).","Esta cita debería aparecer como ""Gribble et al"", para mantener la coherencia formal. ",83,1-2,d-a
"(Gribble, 2007).","Esta cita debería aparecer como ""Gribble et al"", ya que son varios los autores.",83,4,b
(INEI).,"Falta el año de publicación; por tanto, no se puede verificar la fuente.",83,30,c
"(Valdivia, 2002)",,84,18,a
"(CIDE, 2005)","Debería aparecer el nombre completo del autor. El año de la obra no aparece referenciado en la lista bibliográfica, –como obra publicada en el año 2005– sí aparece en cambio una obra cuyos datos hacen referencia a ese año. Por tanto, no se puede verificar la fuente. ",84,27,d
"(Hardee, 1999; Coe, 2004).","La primera cita debería ser ""Hardee et al"" pues son varios los autores. ",86,27,c-d
Tamayo (1999),"La referencia se ha colocado antes de la cita. Después, se ha incluido una cita literal y después de ella, no se incluye dicha referencia parentética. ",87,3,c
Barrig (2008),"La referencia se ha colocado antes de la cita. En la bibliografía, se ha escrito incorrectamente el apellido: ""Barrick"" en lugar de ""Barrig"". ",87,13,a
"(Barrig, 2016 citando a Azaña et al., 1999)","La cita es de Barrig, que cita a Azaña. Por tanto, la formulación debería ser ""Azaña citado en Barrig"", o ""Azaña en Barrig"". No hay una obra de Barrig en la lista para el año 2016. Finalmente, la obra de Azaña señalada en la bibliografía no debería estar incluida, pues la cita pertenece a una obra de Barrig. ",87,4 (PIE),b-c
(MINSA).,"Falta el año; por tanto, no se puede verificar la fuente. ",88,6,d
"(Gribble et al., 2007).",,88,32,d
"(DHS, 2000)","DHS no es el autor del texto. El autor es el Instituto Nacional de Estadística e Informática, que sí aparece en la bibliografía con una probable errata en márgenes. ",92,24,d
"(Tamayo, 1999).",,96,17,d
"(Measham, Rochat, 1988)","Debería estar escrito como Measham y Rochat, para mantener la coherencia formal y la normativa APA. ",96,33,c
"(Carr, 2004).",,97,19,c
"(CUANTO y UNICEF, 1993; UNICEF, 1995)","Esta referencia une dos fuentes que tratan temas distintos. Por un lado, CUANTO UNICEF 1993, que, en la bibliografía, aparece listada con el año 1991 cuando el verdadero año de publicación es 1993. El supuesto contenido del texto proviene de 1991. Por otro lado, UNICEF 1995, que, en la bibliografía, está bien referenciada. / Sin embargo, ambas fuentes, CUANTO UNICEF 1993 y UNICEF 1995, parecen haber sido copiadas de la bibliografía del ""Programa Nacional de Salud Reproductiva y Planificación Familair 1996-2000"".  ",99,9-10,d-b
"(Ehrlich y Ehrlich, 1990; Das Gupta et al., 2011; Ehrlich, 2007)","Ehrlich 2007 no aparece en la bibliografía; por tanto, no se puede verificar esta fuente. ",99,15-16,b-a
"(Sanhueza, 2007).",,100,5,c
"(Joshi y Schultz, 2007).",,100,12,b
"(León, 1999)",,101,24,b
(MINSA).,"Falta el año; por tanto, no se puede verificar la fuente. ",103,17-18,d-a
"(Fernández y Sequeira, 2011).","En la bibliografía, Sequeira aparece como ""Segueira"".",104,11,a-b
"(Ross e Isaacs, 1988).",,106,4,b-c
León (1999),La referencia se ha colocado antes de la cita.,106,24,a
"(Aramburú, 2014).","No hay ninguna obra de este autor en la bibliografía publicada en el citado año. Por tanto, no se puede verificar la fuente. ",106,33,c
Gonzalo Gianella (2014),,107,6-7,d-a
Gianella (2014),,109,4,b
"(Fort, 1989).",,121,5,c
"(Gianella, 2014).",,121,20,b
"(Measham y López-Escobar, 2007).",,121,33,a-b
"(Ferrando, 2006).",,123,15,c
"(Martin, 2004: Ferrando, 2006; Aramburú 2014).","Martin no aparece en la bibliografía. Aramburú no aparece en la bibliografía para ese año. Por tanto, no se puede verificar esta fuente. ",124,1-2,d-b
"(Succar, 2002).","Debería aparecer como ""Succar et al"", pues son varios los autores.  ",126,5,b
[Yamín] (2002),"El nombre de la autora aparece al inicio de la cita y al final de la cita no aparece la referencia parentética completa, sino que solo aparece el año. ",126,25,c
"(Solari, 2001; Yamín, 2002; Cáceres et al., 2004).",Solari no es el autor del texto. El texto es un proyecto de ley presentado en el Congreso de la República del Perú. ,127,3,b-c
"(Aramburú, 2002; Coe, 2004; Cáceres et al., 2004; Gribble et al., 2007).",,128,11-12,c-b
"(Ferrando, 2006; CIDE, 2007).",No señala si es CIDE 2007a o 2007b. ,129,11,c
"(Ferrando, 2006).",,129,19,d
"(Gribble et al., 2007)",,129,26-27,d-a
"(DHS, 1991/92, 2000, 2004/06; CIDE, 2007). ","DHS no es el autor del texto. El autor es el Instituto Nacional de Estadística e Informática, que sí aparece en la bibliografía con una probable errata en márgenes. No hay fuente DHS para los años 2004 y 2006. Finalmente, no especifica si se refiere a CIDE 2007a o 2007b. ",129,32,b-d
"(DHS, 1991/92, 2000, 2004/06; CIDE, 2007).","DHS no es el autor del texto. El autor es el Instituto Nacional de Estadística e Informática, que sí aparece en la bibliografía con una probable errata en márgenes. No hay fuente DHS para los años 2004 y 2006. Finalmente, no especifica si se refiere a CIDE 2007a o 2007b. ",130,4,a-c
"(Ferrando, 2006)",,130,12,d
"(CIDE, 2007). ",No especifica si se refiere a CIDE 2007a o 2007b.,130,22,c
DHS (2009),"DHS no es el autor del texto. El autor es el Instituto Nacional de Estadística e Informática, que sí aparece en la bibliografía con una probable errata en márgenes. ",130,24,b
"(Ferrando, 2006).",,131,22,b
"(Gribble et al., 2007).",,131,29-30,d-a
Ferrando (2006),"La referencia se ha colocado antes de la cita. Después, se ha incluido una cita literal y después de ella, no se incluye dicha referencia parentética. ",132,11,b
"(Ferrando, 2006; ENDES, 2004-2005). ","ENDES no es el autor del texto. El autor es el Instituto Nacional de Estadística e Informática, que sí aparece en la bibliografía con una probable errata en márgenes. No hay obras de ENDES en la bibliografía para los años 2004 y 2006. ",133,7-8,d-b
"(Informe Defensorial Nº 69, 2002). ",El autor está mal referenciado. La Defensoría del Pueblo es el autor,133,21-22,d-b
"(CIDE, 2007).",No señala si es CIDE 2007a o 2007b,134,16,d
(Centro Flora Tristán). ,"Falta año de la obra, también en la bibliografía. ",134,28,a
"(Sobrevilla, Chu y Mendoza, 2016).","Faltaría añadir ""et al"", ya que son varios autores. ",135,10,b-c
"(MINSA, 2011). ","No aparece en la referencia bibliográfica para ese año; por tanto, no se puede verificar esta fuente. ",135,15,b
"(Cleland et al., 2006). ",,138,31,b
